original_id,consensus_id
AZD-1480,271
AZD1480,271
MK-1775 ,272
MK1775,272
MK 1775,272
AZD-1775,272
azd1775,272
MK-1775,272
Adavosertib,272
AZD1775,272
mk1775,272
AZD2014,273
Vistusertib,273
AZD-2014,273
cediranib/azd2171,274
CEDIRANIB,274
Cediranib ,274
Cediranib,274
Cediranib (AZD2171),274
cediranib,274
AZD-2171,274
AZD2461,275
AZD-2461,275
AZD-2858,276
AZD2858,276
AZD-3514,277
AZD-3965 ,278
AZD3965,278
AZD6482,279
AZD-6482,279
AZD-7545,280
AZD7545,280
AZD-8055,281
AZD8055,281
AZD-8186,282
AZD8186,282
AZD8330,283
AZD-8330,283
Sapitinib,284
AZD8931 (Sapitinib),284
AZD8931,284
AZD-8931,284
AZD0156,285
AZD1152-HQPA,286
AZD2811,286
AZD1152-HQPA (AZD2811),286
Barasertib (AZD1152-HQPA),286
AZD1208,287
AZD2932,288
AZD3463,289
AZD3759,290
AZD5153,291
AZD5582,292
Azd6738,293
AZD6738,293
AZD8835,294
Osimertinib,295
OSIMERTINIB,295
AZD9291,295
Abamectin,296
Abbolactone,297
LY2835219,298
abemaciclib,298
Abemaciclib mesylate,298
LY-2835219,298
LY2835219 mesylate,298
Abemaciclib,298
Abemaciclib (LY2835219),298
PCI-24781 (Abexinostat),299
PCI-24781,299
Abexinostat,299
Abiraterone Acetate,300
methotrexate,301
Abitrexate,301
Methotrexate  ,301
METHOTREXATE,301
Methotrexate,301
NSC-740,301
Acacytidine,302
Acalabrutinib (ACP-196),303
Acalabrutinib,303
Acalisib (GS-9820),304
Acarbose,305
Acebutolol hydrochloride,306
Acecainide,307
Aceclofenac,308
Aceglutamide,309
Acemetacin,310
Acetaminophen,311
Acetanilide,312
Acetazolamide,313
Acetohexamide,314
Acetohydroxamic acid,315
Acetovanillone,316
Acetylcholine chloride,317
Acetylcysteine,318
Acetylleucine,319
Acetylsalicylic acid,320
Acetylspiramycin,321
Aciclovir,322
Acipimox,323
Acitretin,324
Aclarubicin,325
Aclidinium bromide,326
Aconitine,327
Acotiamide hydrochloride,328
Acrichine,329
Quinacrine dihydrochloride dihydrate,329
Quinacrine dihydrochloride,329
Mepacrine,329
NSC-14229,329
Acridine,330
Actarit,331
Actidione,332
Dactinomycin,333
NSC-3053,333
Actinomycin D,333
DACTINOMYCIN,333
Adagrasib,334
Adapalene,335
Adefovir dipivoxil,336
Ademine,337
Adenine hydrochloride,338
Adenine,338
Adenosine,339
Adenosine 5'-monophosphate,340
Adenosine 5'-monophosphate monohydrate,340
Adenosine disodium triphosphate ,341
Adiphenine HCl,342
Adiphenine hydrochloride,342
Adrenalone hydrochloride,343
Adrenosterone,344
Afuresertib (GSK2110183),345
Afuresertib,345
GSK2110183,345
Agios Cmp 301,346
Agipnon,347
Agomelatine,348
Alarelin,349
Albamycinsodium,350
Albendazole,351
Alcaftadine,352
Aldoxorubicin,353
Alendronate,354
Alfacalcidol,355
Alfuzosin hydrochloride,356
Alibendol,357
Aliskiren hemifumarate,358
Alizapride hydrochloride,359
Allantoin,360
Allylestrenol,361
Allylthiourea,362
Almorexant,363
Almotriptan Malate,364
Alodan,365
Aloe-emodin,366
Alogliptin Benzoate,367
Aloin,368
Alosetron hydrochloride,369
"Alsterpaullone, 2-cyanoethyl",370
Altiratinib(DCC2701),371
Altiratinib,371
Altrenogest,372
Alvelestat (AZD9668),373
Alverine citrate,374
Alvimopan,375
Amantadine hydrochloride,376
Ambrisentan,377
Ambroxol,378
Ambroxol hydrochloride,378
Amcasertib,379
Amcinonide,380
Amfenac Sodium Monohydrate,381
Amfepramone hydrochloride,382
Amidrine,383
Amikacin,384
Amikacin Sulfate Salt,384
Amiloride hydrochloride dihydrate,385
Amiloride hydrochloride,385
Aminacrine,386
Aminoflavone,387
Aminoglutethimide,388
Aminoguanidine hydrochloride,389
Aminopar,390
Sodium 4-aminosalicylate dihydrate,390
Aminophenazone,391
Theophylline,392
Aminophylline,392
Theophylline monohydrate,392
Aminothiazole,393
Amiodarone hydrochloride,394
Amisulpride,395
Amitraz,396
Amitriptyline hydrochloride,397
Amlexanox,398
Amlodipine Besylate,399
Amlodipine,399
Amodiaquine hydrochloride,400
Amodiaquin dihydrochloride dihydrate,400
CGX-571,401
Amonafide,401
Amorolfine hydrochloride,402
Amoxapine,403
Amoxicillin,404
Amoxicillin trihydrate,404
Ampalex,405
Amphotericin B,406
Ampicillin,407
Ampicillin Trihydrate ,407
Amprolium,408
Amprolium Hydrochloride,408
Amrinone,409
Amsacrine,410
Amstat,411
Anacardic Acid,412
Anacetrapib (MK-0859),413
Clomipramine hydrochloride,414
Anafranil,414
Anagrelide,415
Dipyrone,416
Analgin,416
Andarine,417
Andrographolide,418
Anestan,419
Anethole trithione,420
Aniracetam,421
Anisomycin,422
Anlotinib,423
Anovigam,424
Antazoline hydrochloride,425
Antepan,426
Anthralin,427
Antipyrine,428
Antrapurol,429
YN-968D1,430
Apatinib,430
Apigenin,431
Apilimod,432
Apixaban,433
Apramycin sulfate,434
Apremilast (CC-10004),435
Aprepitant ,436
Aptal,437
Aquacrine,438
Arabinoside,439
Arbidol hydrochloride,440
Arbutin,441
Arctigenin,442
Arecoline HBr,443
Argatroban,444
Ariad Alk/EGFR inhibitor related to AP-26113,445
Aripiprazole,446
Aristolochic Acid,447
Armodafinil,448
Arsenic oxide (3),449
Artamine,450
Arteether,451
Artemether,452
Artemisinin,453
Artesunate,454
Articaine hydrochloride,455
Asciminib,456
Ascomycin (FK520),457
Asenapine Maleate,458
Asiatic acid,459
Asiatic Acid,459
Asiaticoside,460
Asorbic Acid,461
Aspartame,462
Astemizole,463
Astex FGF inhibitor,464
Astragaloside A,465
Ataluren (PTC124),466
Ataractan,467
Atazanavir sulfate,468
Atenolol,469
Atomoxetine hydrochloride,470
Atopaxar Hydrobromide,471
Atopaxar,471
Atorvastatin,472
Atorvastatin Calcium ,472
Atovaquone,473
Atropine sulfate monohydrate,474
Atropine,474
Atropine sulfate,475
Auranofin,476
Aurora A Inhibitor I,477
Aurora kinase inhibitor III,478
Aurora kinase/cdk inhibitor,479
JNJ-7706621,479
Avanafil,480
Avapritinib,481
Avasimibe,482
Avobenzone,483
Azacytidine-5,484
Azasetron hydrochloride,485
Azatadine Maleate,486
Azathioprine,487
Azelaic acid,488
Azelastine,489
Azelastine HCl,489
Azelnidipine,490
Azilsartan,491
Azithromycin A,492
Azithromycin,492
Azithromycin dihydrate,492
Azlocillin sodium,493
Azobenzene,494
Aztreonam,495
RAD51 INHIBITOR B02,496
B02,496
BAF312 (Siponimod),497
Bafilomycin A1,498
bafilomycin A1,498
BAFILOMYCIN A1,498
BAL-101553,499
BAL-27862,500
BRD-K07442505,501
BAM7,501
bardoxolone methyl,502
Bardoxolone methyl,502
BARDOXOLONE METHYL,502
BAX CHANNEL BLOCKER,503
Bax channel blocker,503
BAY 11-7082,504
Bay 11-7085,505
BAY 11-7085,505
BAY 1436032,506
BAY-1436032,506
BAY61-3606,507
BAY-61-3606,507
BAY 61-3606,507
BAY 87-2243,508
BAY-1942,509
BAY-80-6946 ,510
Copanlisib,510
BAY-86-9766,511
"Refametinib (RDEA119, Bay 86-9766)",511
REFAMETINIB,511
RDEA119,511
Refametinib,511
BAY85-3934;Molidustat,512
BCI,513
BCL-LZH-4,514
BDP-00009066,515
BEC,516
Belinostat (PXD101),517
PXD101,517
Belinostat,517
BELINOSTAT,517
belinostat,517
