smiles,pubchem_compound_id,pubchem_substance_id,pubchem_parent_compound_id,name,pubchem_name
NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,144.0,,144.0,5-hydroxytryptophan (5-HTP),(+-)-5-Hydroxytryptophan
O=c1[nH]cc(F)c(=O)[nH]1,3385.0,,3385.0,5FU,5-Fluorouracil
O=c1[nH]cc(F)c(=O)[nH]1,3385.0,,3385.0,5fu,5-Fluorouracil
NCCCCCC(=O)O,564.0,,564.0,6-Aminocaproic acid,6-Aminohexanoic Acid
S=c1nc[nH]c2nc[nH]c12,667490.0,,667490.0,6-Mercaptopurine,6-Mercaptopurine
O.S=c1nc[nH]c2nc[nH]c12,2724350.0,,667490.0,6-Mercaptopurine monohydrate,6-Mercaptopurine Monohydrate
Nc1nc(=S)c2[nH]cnc2[nH]1,2723601.0,,2723601.0,6-Thioguanine,Thioguanine
O=c1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,5901.0,,5901.0,6-azauridine,6-Azauridine
,681640.0,,,681640,1-Cyclohexyl-3-[[(2~{r})-Oxolan-2-Yl]methyl]urea
O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12,1880.0,,1880.0,"7,8-Dihydroxyflavone","7,8-Dihydroxyflavone"
CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,104842.0,,104842.0,7-Ethyl-10-hydroxycamptothecin,7-Ethyl-10-Hydroxycamptothecin
Nc1nc2n[nH]nc2c(=O)[nH]1,135403646.0,,135403646.0,8-Azaguanin,8-Azaguanine
CCCCCCCCCCCCSc1nc2c([nH]1)c(=O)n(C)c(=O)n2C,253871.0,,253871.0,"8-DODECYLSULFANYL-1,3-DIMETHYL-7H-PURINE-2,6-DIONE","8-dodecylsulfanyl-1,3-dimethyl-7H-purine-2,6-dione"
COc1c2occc2cc2ccc(=O)oc12,4114.0,,4114.0,8-Methoxypsoralen,8-Methoxypsoralen
Nc1ncnc2c1nc(N)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,96851.0,,96851.0,8-amino-adenosine,8-Aminoadenosine
Nc1ncnc2c1nc(Cl)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,147569.0,,147569.0,8-chloro-adenosine,8-Chloroadenosine
,59972331.0,,,968,"22-Hexyl-10,17,18,19,23,25,26,27,33,67,77,78,79,80-tetradecamethyl-49-[3,4,5,6-tetramethyl-7-(11,14,15-trimethyl-2-bicyclo[10.5.4]henicosanyl)heptan-2-yl]tetracosacyclo[27.10.10.1024,28.1043,46.79,42.011,20.015,35.016,34.036,48.040,45.041,44.968,74.367,76.043,53.044,52.045,51.054,59.055,58.056,65.057,62.057,64.058,61.059,60.063,66]octaoctacontane"
C[C@H](N=C(NC#N)Nc1cccc2ncccc12)c1ccccc1,53325874.0,,53325874.0,A 804598,A804598
CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1,59447577.0,,59447577.0,A-1155463,A-1155463
Cc1nn(C)c(COc2ccc(N3CCN(S(=O)(=O)N(C)C)CC3)cc2)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)n(CCN3CCOCC3)c12,66575373.0,,66575373.0,A-1210477,A-1210477
Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2,71565985.0,,71565985.0,A-1331852,A-1331852
COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1,76285486.0,,76285486.0,A-366,"5'-Methoxy-6'-(3-(pyrrolidin-1-yl)propoxy)spiro(cyclobutane-1,3'-indol)-2'-amine"
CN1CCN(C2CCC(n3cc(-c4ccc(Oc5ccccc5)cc4)c4c(N)ncnc43)CC2)CC1,6539952.0,,6539952.0,A-419259,"7-[trans-4-(4-Methylpiperazin-1-Yl)cyclohexyl]-5-(4-Phenoxyphenyl)-7h-Pyrrolo[2,3-D]pyrimidin-4-Amine"
,,,,"A-443654, KIN001-139",
CCn1c(=O)c2cc(C(N)=O)c(N)nc2n(C2CC2)c1=O,14998470.0,,14998470.0,A-484954,"7-Amino-1-cyclopropyl-3-ethyl-2,4-dioxo-1,2,3,4-tetrahydropyrido[2,3-d]pyrimidine-6-carboxamide"
Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,11314340.0,,11314340.0,A-674563,A-674563
N#Cc1c(O)c2c(-c3ccc(-c4ccccc4O)cc3)csc2[nH]c1=O,54708532.0,,54708532.0,A-769662,A-769662
,9549184.0,,,"A-770041, KIN001-111","1H-Indole-2-carboxamide, N-(4-(1-(trans-4-(4-acetyl-1-piperazinyl)cyclohexyl)-4-amino-1H-pyrazolo(3,4-d)pyrimidin-3-yl)-2-methoxyphenyl)-1-methyl-"
C[C@H](N=C(NC#N)Nc1cccc2ncccc12)c1ccccc1,53325874.0,,53325874.0,A-804598,A804598
Cc1cccc(-c2nn(C(=S)Nc3ccccc3)cc2-c2ccnc3ccccc23)n1,16218924.0,,16218924.0,A-83-01,A-83-01
CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,11957499.0,,11957499.0,A23187,Calcimycin
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,42636535.0,,42636535.0,A66,"(S)-N1-(2-(tert-butyl)-4'-methyl-[4,5'-bithiazol]-2'-yl)pyrrolidine-1,2-dicarboxamide"
,,516560761.0,,A770041,
,,131320118.0,,A832234,5927-18-4
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C(F)(F)F,5280436.0,,5280436.0,AA-COCF3,"(6Z,9Z,12Z,15Z)-1,1,1-Trifluoro-6,9,12,15-heneicosatetraen-2-one"
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,10074640.0,,10074640.0,AB-1010,Masitinib
O=C(NCc1ccncc1)C12CC3CC(C1)CC(c1ccc(Cl)cc1)(C3)C2,15604015.0,,15604015.0,ABC294640,Opaganib
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,132971.0,,132971.0,ABIRATERONE,Abiraterone
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,49846579.0,,49846579.0,ABT-199,Venetoclax
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,49846579.0,,49846579.0,ABT-199 (GDC-0199),Venetoclax
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,24978538.0,,24978538.0,ABT-263,Abt 263
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,24978538.0,,24978538.0,ABT-263 (NAVITOCLAX),Abt 263
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,24978538.0,,24978538.0,ABT-263 (Navitoclax),Abt 263
Nc1ncc(-c2cnn(CCO)c2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,46207586.0,,46207586.0,ABT-348,Ilorasertib
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],11228183.0,,11228183.0,ABT-737,"4-(4-((4'-Chloro(1,1'-biphenyl)-2-yl)methyl)-1-piperazinyl)-N-((4-(((1R)-3-(dimethylamino)-1-((phenylthio)methyl)propyl)amino)-3-nitrophenyl)sulfonyl)benzamide"
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],11228183.0,,11228183.0,ABT-737 ,"4-(4-((4'-Chloro(1,1'-biphenyl)-2-yl)methyl)-1-piperazinyl)-N-((4-(((1R)-3-(dimethylamino)-1-((phenylthio)methyl)propyl)amino)-3-nitrophenyl)sulfonyl)benzamide"
COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,3035714.0,,3035714.0,ABT-751,N-(2-((4-hydroxyphenyl)amino)-3-pyridinyl)-4-methoxybenzenesulfonamide
COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,3035714.0,,3035714.0,ABT-751 (E7010),N-(2-((4-hydroxyphenyl)amino)-3-pyridinyl)-4-methoxybenzenesulfonamide
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,11485656.0,,11485656.0,ABT-869,Linifanib
C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1.Cl.Cl,45480520.0,,11960529.0,ABT-888,(R)-2-(2-methylpyrrolidin-2-yl)-1H-benzo(d)imidazole-4-carboxamide dihydrochloride
C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1.Cl.Cl,45480520.0,,11960529.0,ABT888 hydrochloride,(R)-2-(2-methylpyrrolidin-2-yl)-1H-benzo(d)imidazole-4-carboxamide dihydrochloride
CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,1714884.0,,1714884.0,AC 55649,AC55649
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,24889392.0,,24889392.0,AC-220,Quizartinib
Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,10437018.0,,10437018.0,AC480,Bms-599626
Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,10437018.0,,10437018.0,AC480 (BMS-599626),Bms-599626
CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,1714884.0,,1714884.0,AC55649,AC55649
